value,original_filename,spectrogram_filename,spectrogram_path,source_type
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_144.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_144.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_380.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_380.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1247.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1247.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2279.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2279.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_121.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_121.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1566.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1566.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_418.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_418.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_1867.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1867.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2488.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2488.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1952.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1952.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3797.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3797.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2370.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2370.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_555.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_555.pt,o
